----------------------  ------------------------------
females                 ('Genesis', '30', '41')
menservants,            ('Genesis', '30', '43')
breeding                ('Genesis', '31', '10')
'jacob.'                ('Genesis', '31', '11')
am.'                    ('Genesis', '31', '11')
estate?                 ('Genesis', '31', '14')
foreigners?             ('Genesis', '31', '15')
bad."                   ('Genesis', '31', '24')
harps?                  ('Genesis', '31', '27')
gods?"                  ('Genesis', '31', '30')
force.                  ('Genesis', '31', '31')
period."                ('Genesis', '31', '35')
crime?"                 ('Genesis', '31', '36')
miscarried,             ('Genesis', '31', '38')
situation:              ('Genesis', '31', '40')
pillar.                 ('Genesis', '31', '45')
jegar                   ('Genesis', '31', '47')
sahadutha,              ('Genesis', '31', '47')
eyes.'"                 ('Genesis', '32', '5')
groups,                 ('Genesis', '32', '7')
group,                  ('Genesis', '32', '8')
groups.                 ('Genesis', '32', '10')
counted.'"              ('Genesis', '32', '12')
herds."                 ('Genesis', '32', '16')
lead:                   ('Genesis', '32', '17')
herds:                  ('Genesis', '32', '19')
pacify                  ('Genesis', '32', '20')
jabbok.                 ('Genesis', '32', '22')
wrenched                ('Genesis', '32', '25')
name?jacob,"            ('Genesis', '32', '27')
overcome."              ('Genesis', '32', '28')
limping                 ('Genesis', '32', '31')
hip.                    ('Genesis', '32', '31')
tendon                  ('Genesis', '32', '32')
hip,                    ('Genesis', '32', '32')
tendon.                 ('Genesis', '32', '32')
met?to                  ('Genesis', '33', '8')
please!"                ('Genesis', '33', '10')
favorably.              ('Genesis', '33', '10')
need."                  ('Genesis', '33', '11')
slowly                  ('Genesis', '33', '14')
pace                    ('Genesis', '33', '14')
seir."                  ('Genesis', '33', '14')
you.but                 ('Genesis', '33', '15')
elohe                   ('Genesis', '33', '20')
dinah,                  ('Genesis', '34', '1')
hivite,                 ('Genesis', '34', '2')
livestock;              ('Genesis', '34', '5')
daughter-a              ('Genesis', '34', '7')
hamor.                  ('Genesis', '34', '13')
thing;                  ('Genesis', '34', '14')
only:                   ('Genesis', '34', '15')
circumcising            ('Genesis', '34', '15')
males.                  ('Genesis', '34', '15')
townsmen.               ('Genesis', '34', '20')
ours.                   ('Genesis', '34', '21')
prostitute?"            ('Genesis', '34', '31')
nurse,                  ('Genesis', '35', '8')
allon                   ('Genesis', '35', '8')
bacuth.                 ('Genesis', '35', '8')
difficulty.             ('Genesis', '35', '16')
last-for                ('Genesis', '35', '18')
dying-she               ('Genesis', '35', '18')
ben-oni.                ('Genesis', '35', '18')
ephrath                 ('Genesis', '35', '19')
eder.                   ('Genesis', '35', '21')
leah:                   ('Genesis', '35', '23')
bilhah:                 ('Genesis', '35', '25')
zilpah:                 ('Genesis', '35', '26')
stayed.                 ('Genesis', '35', '27')
edom).                  ('Genesis', '36', '1')
canaan:                 ('Genesis', '36', '2')
zibeon                  ('Genesis', '36', '2')
hivite-                 ('Genesis', '36', '2')
nebaioth.               ('Genesis', '36', '3')
edom)                   ('Genesis', '36', '8')
adah,                   ('Genesis', '36', '10')
oholibamah:             ('Genesis', '36', '18')
edom),                  ('Genesis', '36', '19')
horite,                 ('Genesis', '36', '20')
region:                 ('Genesis', '36', '20')
zibeon.                 ('Genesis', '36', '24')
dishon                  ('Genesis', '36', '25')
chiefs:                 ('Genesis', '36', '29')
regions:                ('Genesis', '36', '40')
occupied.               ('Genesis', '36', '43')
edomites.               ('Genesis', '36', '43')
stayed,                 ('Genesis', '37', '1')
seventeen,              ('Genesis', '37', '2')
had:                    ('Genesis', '37', '6')
"listen,"               ('Genesis', '37', '9')
had?                    ('Genesis', '37', '10')
them.very               ('Genesis', '37', '13')
flocks?"                ('Genesis', '37', '16')
dothan.'"               ('Genesis', '37', '17')
dothan.                 ('Genesis', '37', '17')
dreamer!"               ('Genesis', '37', '19')
life,"                  ('Genesis', '37', '21')
robe-the                ('Genesis', '37', '23')
wearing-                ('Genesis', '37', '23')
caravan                 ('Genesis', '37', '25')
agreed.                 ('Genesis', '37', '27')
robe."                  ('Genesis', '37', '32')
robe!                   ('Genesis', '37', '33')
hirah.                  ('Genesis', '38', '1')
er.                     ('Genesis', '38', '3')
onan.                   ('Genesis', '38', '4')
kezib                   ('Genesis', '38', '5')
producing               ('Genesis', '38', '9')
shua,                   ('Genesis', '38', '12')
hirah                   ('Genesis', '38', '12')
sheep,"                 ('Genesis', '38', '13')
enaim,                  ('Genesis', '38', '14')
you.and                 ('Genesis', '38', '16')
flock,"                 ('Genesis', '38', '17')
you?your                ('Genesis', '38', '18')
hand,"                  ('Genesis', '38', '18')
enaim?there             ('Genesis', '38', '21')
laughingstock.          ('Genesis', '38', '23')
death!"                 ('Genesis', '38', '24')
father-in-law.          ('Genesis', '38', '25')
shelah."                ('Genesis', '38', '26')
wrist                   ('Genesis', '38', '28')
wrist,                  ('Genesis', '38', '30')
owned.                  ('Genesis', '39', '4')
owned,                  ('Genesis', '39', '5')
well-built              ('Genesis', '39', '6')
charge,"                ('Genesis', '39', '8')
screamed.               ('Genesis', '39', '14')
story:                  ('Genesis', '39', '17')
screamed                ('Genesis', '39', '18')
warden.                 ('Genesis', '39', '21')
men-the                 ('Genesis', '40', '5')
prison-had              ('Genesis', '40', '5')
dejected.               ('Genesis', '40', '6')
blossomed,              ('Genesis', '40', '10')
cupbearer.              ('Genesis', '40', '13')
dungeon."               ('Genesis', '40', '15')
