----------------------  ------------------------------
barbs                   ('Numbers', '33', '55')
boundaries:             ('Numbers', '34', '2')
azmon,                  ('Numbers', '34', '4')
ziphron                 ('Numbers', '34', '9')
shepham.                ('Numbers', '34', '10')
shepham                 ('Numbers', '34', '11')
kinnereth.              ('Numbers', '34', '11')
side.'"                 ('Numbers', '34', '12')
"assign                 ('Numbers', '34', '13')
shemuel                 ('Numbers', '34', '20')
elidad                  ('Numbers', '34', '21')
kislon,                 ('Numbers', '34', '21')
jogli,                  ('Numbers', '34', '22')
shiphtan,               ('Numbers', '34', '24')
parnach,                ('Numbers', '34', '25')
azzan,                  ('Numbers', '34', '26')
ahihud                  ('Numbers', '34', '27')
shelomi,                ('Numbers', '34', '27')
pedahel                 ('Numbers', '34', '28')
naphtali."              ('Numbers', '34', '28')
tribe:                  ('Numbers', '35', '8')
avenger,                ('Numbers', '35', '12')
aforethought            ('Numbers', '35', '20')
intentionally           ('Numbers', '35', '20')
murderer.               ('Numbers', '35', '21')
pollutes                ('Numbers', '35', '33')
tribes;                 ('Numbers', '36', '3')
forefathers."           ('Numbers', '36', '4')
daughters:              ('Numbers', '36', '6')
inherits."              ('Numbers', '36', '9')
daughters-mahlah,       ('Numbers', '36', '11')
noah-married            ('Numbers', '36', '11')
arabah-opposite         ('Deuteronomy', '1', '1')
suph,                   ('Deuteronomy', '1', '1')
tophel,                 ('Deuteronomy', '1', '1')
dizahab.                ('Deuteronomy', '1', '1')
road.)                  ('Deuteronomy', '1', '2')
fathers-to              ('Deuteronomy', '1', '8')
jacob-and               ('Deuteronomy', '1', '8')
problems                ('Deuteronomy', '1', '12')
you-as                  ('Deuteronomy', '1', '15')
fairly,                 ('Deuteronomy', '1', '16')
judging;                ('Deuteronomy', '1', '17')
swore:                  ('Deuteronomy', '1', '34')
wholeheartedly."        ('Deuteronomy', '1', '36')
bad-they                ('Deuteronomy', '1', '39')
careful.                ('Deuteronomy', '2', '4')
drink.'"                ('Deuteronomy', '2', '6')
possession."            ('Deuteronomy', '2', '9')
there-a                 ('Deuteronomy', '2', '10')
anakites,               ('Deuteronomy', '2', '11')
emites.                 ('Deuteronomy', '2', '11')
possession.)            ('Deuteronomy', '2', '12')
valley."                ('Deuteronomy', '2', '13')
eliminated              ('Deuteronomy', '2', '15')
ar.                     ('Deuteronomy', '2', '18')
lot."                   ('Deuteronomy', '2', '19')
zamzummites.            ('Deuteronomy', '2', '20')
caphtorites             ('Deuteronomy', '2', '23')
place.)                 ('Deuteronomy', '2', '23')
ar,                     ('Deuteronomy', '2', '29')
us-until                ('Deuteronomy', '2', '29')
them-men,               ('Deuteronomy', '2', '34')
argob,                  ('Deuteronomy', '3', '4')
city-men,               ('Deuteronomy', '3', '6')
(hermon                 ('Deuteronomy', '3', '9')
sidonians;              ('Deuteronomy', '3', '9')
senir.)                 ('Deuteronomy', '3', '9')
salecah                 ('Deuteronomy', '3', '10')
(only                   ('Deuteronomy', '3', '11')
ammonites.)             ('Deuteronomy', '3', '11')
geshurites              ('Deuteronomy', '3', '14')
maacathites;            ('Deuteronomy', '3', '14')
makir.                  ('Deuteronomy', '3', '15')
border)                 ('Deuteronomy', '3', '16')
livestock)              ('Deuteronomy', '3', '19')
lebanon."               ('Deuteronomy', '3', '25')
subtract                ('Deuteronomy', '4', '2')
form;                   ('Deuteronomy', '4', '12')
stars-all               ('Deuteronomy', '4', '19')
array-do                ('Deuteronomy', '4', '19')
time-if                 ('Deuteronomy', '4', '25')
lived?                  ('Deuteronomy', '4', '33')
testings,               ('Deuteronomy', '4', '34')
reubenites;             ('Deuteronomy', '4', '43')
gadites;                ('Deuteronomy', '4', '43')
siyon                   ('Deuteronomy', '4', '48')
hermon),                ('Deuteronomy', '4', '48')
mountain.)              ('Deuteronomy', '5', '5')
"observe                ('Deuteronomy', '5', '12')
survived?               ('Deuteronomy', '5', '26')
impress                 ('Deuteronomy', '6', '7')
provide,                ('Deuteronomy', '6', '11')
plant-then              ('Deuteronomy', '6', '11')
massah.                 ('Deuteronomy', '6', '16')
stipulations            ('Deuteronomy', '6', '17')
thrusting               ('Deuteronomy', '6', '19')
wonders-great           ('Deuteronomy', '6', '22')
terrible-upon           ('Deuteronomy', '6', '22')
nations-the             ('Deuteronomy', '7', '1')
totally.                ('Deuteronomy', '7', '2')
fewest                  ('Deuteronomy', '7', '7')
land-your               ('Deuteronomy', '7', '13')
oil-the                 ('Deuteronomy', '7', '13')
eliminate               ('Deuteronomy', '7', '22')
land-a                  ('Deuteronomy', '8', '7')
scarce                  ('Deuteronomy', '8', '9')
multiplied,             ('Deuteronomy', '8', '13')
tall-anakites!          ('Deuteronomy', '9', '2')
anakites?"              ('Deuteronomy', '9', '2')
themselves."            ('Deuteronomy', '9', '12')
indeed!                 ('Deuteronomy', '9', '13')
barnea,                 ('Deuteronomy', '9', '23')
arm."                   ('Deuteronomy', '9', '29')
chest."                 ('Deuteronomy', '10', '2')
jaakanites              ('Deuteronomy', '10', '6')
moserah.                ('Deuteronomy', '10', '6')
gudgodah                ('Deuteronomy', '10', '7')
jotbathah,              ('Deuteronomy', '10', '7')
households,             ('Deuteronomy', '11', '6')
irrigated               ('Deuteronomy', '11', '10')
soul-                   ('Deuteronomy', '11', '13')
follow-to               ('Deuteronomy', '11', '22')
moreh,                  ('Deuteronomy', '11', '30')
possess-as              ('Deuteronomy', '12', '1')
fit,                    ('Deuteronomy', '12', '8')
name-there              ('Deuteronomy', '12', '11')
choose-you,             ('Deuteronomy', '12', '18')
towns-and               ('Deuteronomy', '12', '18')
meat,"                  ('Deuteronomy', '12', '20')
dispossess.             ('Deuteronomy', '12', '29')
foretells               ('Deuteronomy', '13', '1')
known)                  ('Deuteronomy', '13', '2')
dreamer.                ('Deuteronomy', '13', '3')
revere.                 ('Deuteronomy', '13', '4')
dreamer                 ('Deuteronomy', '13', '5')
slavery;                ('Deuteronomy', '13', '5')
other),                 ('Deuteronomy', '13', '7')
arisen                  ('Deuteronomy', '13', '13')
known),                 ('Deuteronomy', '13', '13')
inquire,                ('Deuteronomy', '13', '14')
roe                     ('Deuteronomy', '14', '5')
ibex,                   ('Deuteronomy', '14', '5')
rabbit                  ('Deuteronomy', '14', '7')
coney.                  ('Deuteronomy', '14', '7')
pig                     ('Deuteronomy', '14', '8')
falcon,                 ('Deuteronomy', '14', '13')
foreigner.              ('Deuteronomy', '14', '21')
(because                ('Deuteronomy', '14', '24')
away),                  ('Deuteronomy', '14', '24')
like:                   ('Deuteronomy', '14', '26')
own)                    ('Deuteronomy', '14', '29')
proclaimed.             ('Deuteronomy', '15', '2')
hardhearted             ('Deuteronomy', '15', '7')
tightfisted             ('Deuteronomy', '15', '7')
grudging                ('Deuteronomy', '15', '10')
liberally               ('Deuteronomy', '15', '14')
awl                     ('Deuteronomy', '15', '17')
flaw,                   ('Deuteronomy', '15', '21')
haste-so                ('Deuteronomy', '16', '3')
anniversary             ('Deuteronomy', '16', '6')
name-you,               ('Deuteronomy', '16', '11')
feast-you,              ('Deuteronomy', '16', '14')
choose:                 ('Deuteronomy', '16', '16')
empty-handed:           ('Deuteronomy', '16', '16')
judge-whether           ('Deuteronomy', '17', '8')
assaults-take           ('Deuteronomy', '17', '8')
accumulate              ('Deuteronomy', '17', '17')
levites-indeed          ('Deuteronomy', '18', '1')
levi-are                ('Deuteronomy', '18', '1')
sheep:                  ('Deuteronomy', '18', '3')
jowls                   ('Deuteronomy', '18', '3')
benefits,               ('Deuteronomy', '18', '8')
interprets              ('Deuteronomy', '18', '10')
omens,                  ('Deuteronomy', '18', '10')
engages                 ('Deuteronomy', '18', '10')
spells,                 ('Deuteronomy', '18', '11')
presumes                ('Deuteronomy', '18', '20')
presumptuously.         ('Deuteronomy', '18', '22')
centrally               ('Deuteronomy', '19', '2')
located                 ('Deuteronomy', '19', '2')
life-one                ('Deuteronomy', '19', '4')
instance,               ('Deuteronomy', '19', '5')
ways-then               ('Deuteronomy', '19', '9')
predecessors            ('Deuteronomy', '19', '14')
investigation,          ('Deuteronomy', '19', '18')
proves                  ('Deuteronomy', '19', '18')
pity:                   ('Deuteronomy', '19', '21')
fainthearted            ('Deuteronomy', '20', '3')
fainthearted?           ('Deuteronomy', '20', '8')
breathes.               ('Deuteronomy', '20', '16')
jebusites-as            ('Deuteronomy', '20', '17')
heifer's                ('Deuteronomy', '21', '4')
assault.                ('Deuteronomy', '21', '5')
wills                   ('Deuteronomy', '21', '16')
preference              ('Deuteronomy', '21', '16')
actual                  ('Deuteronomy', '21', '16')
profligate              ('Deuteronomy', '21', '20')
drunkard."              ('Deuteronomy', '21', '20')
straying,               ('Deuteronomy', '22', '1')
loses.                  ('Deuteronomy', '22', '3')
virginity,"             ('Deuteronomy', '22', '14')
virgin.'                ('Deuteronomy', '22', '17')
virginity."             ('Deuteronomy', '22', '17')
virginity               ('Deuteronomy', '22', '20')
death-the               ('Deuteronomy', '22', '24')
girl;                   ('Deuteronomy', '22', '26')
screamed,               ('Deuteronomy', '22', '27')
discovered,             ('Deuteronomy', '22', '28')
emasculated             ('Deuteronomy', '23', '1')
pethor                  ('Deuteronomy', '23', '4')
