--------------------  ------------------------------
alter                 ['Psalms', '89', '34']
altered-in            ['Daniel', '6', '8']
alternate             ['Exodus', '28', '34']
amad                  ['Joshua', '19', '26']
amal                  ['1 Chronicles', '7', '35']
amam                  ['Joshua', '15', '26']
amana                 ['Song of Solomon', '4', '8']
amashsai              ['Nehemiah', '11', '13']
amasiah               ['2 Chronicles', '17', '16']
amasses               ['Proverbs', '28', '8']
ambassador            ['Ephesians', '6', '20']
ambushes              ['2 Chronicles', '20', '22']
ami                   ['Ezra', '2', '57']
ammizabad             ['1 Chronicles', '27', '6']
ammoni                ['Joshua', '18', '24']
amorites-the          ['Joshua', '10', '5']
amphipolis            ['Acts', '17', '1']
ampliatus             ['Romans', '16', '8']
amply                 ['Philippians', '4', '18']
anaharath             ['Joshua', '19', '19']
anakites-sheshai      ['Joshua', '15', '14']
anammelech            ['2 Kings', '17', '31']
anan                  ['Nehemiah', '10', '26']
anani-seven           ['1 Chronicles', '3', '24']
anchored              ['Mark', '6', '53']
ancients              ['Hebrews', '11', '2']
andronicus            ['Romans', '16', '7']
anem                  ['1 Chronicles', '6', '73']
anger-                ['Isaiah', '13', '9']
angers                ['Proverbs', '20', '2']
angry-now             ['Psalms', '60', '1']
aniam                 ['1 Chronicles', '7', '19']
anim                  ['Joshua', '15', '50']
animal-one            ['Leviticus', '27', '11']
animals-in            ['Jeremiah', '33', '12']
ankle                 ['Isaiah', '3', '20']
ankle-deep            ['Ezekiel', '47', '3']
anna                  ['Luke', '2', '36']
annihilated           ['2 Chronicles', '32', '21']
anniversary           ['Deuteronomy', '16', '6']
announcement          ['Isaiah', '48', '16']
announcing            ['Jeremiah', '4', '15']
annoyance             ['Proverbs', '12', '16']
annulled              ['Isaiah', '28', '18']
anoth                 ['Joshua', '15', '59']
answer-               ['Job', '40', '5']
answer.i              ['Judges', '14', '16']
answerable            ['Matthew', '5', '22']
answered-             ['Job', '12', '4']
ant                   ['Proverbs', '6', '6']
anthothijah           ['1 Chronicles', '8', '24']
antichrists           ['1 John', '2', '18']
anticipating          ['Acts', '12', '11']
antipas               ['Revelation', '2', '13']
antipatris            ['Acts', '23', '31']
ants                  ['Proverbs', '30', '25']
anub                  ['1 Chronicles', '4', '8']
anvil                 ['Isaiah', '41', '7']
anxieties             ['Luke', '21', '34']
anxiously             ['Luke', '2', '48']
anyone-only           ['2 Kings', '7', '10']
apartment             ['Jeremiah', '36', '22']
apelles               ['Romans', '16', '10']
aphekah               ['Joshua', '15', '53']
aphiah                ['1 Samuel', '9', '1']
apollonia             ['Acts', '17', '1']
apollyon              ['Revelation', '9', '11']
apostolic             ['Acts', '1', '25']
appealing             ['2 Peter', '2', '18']
appeals               ['2 Samuel', '19', '28']
appearances           ['John', '7', '24']
apphia                ['Philemon', '1', '2']
appius                ['Acts', '28', '15']
appointment           ['2 Chronicles', '31', '13']
appraised             ['Job', '28', '27']
apprehensive          ['Luke', '21', '26']
approves              ['Romans', '14', '22']
aprons                ['Acts', '19', '12']
apt                   ['Proverbs', '15', '23']
aptitude              ['Daniel', '1', '4']
aptly                 ['Proverbs', '25', '11']
ara                   ['1 Chronicles', '7', '38']
arabah-opposite       ['Deuteronomy', '1', '1']
arabian               ['1 Kings', '10', '15']
arbel                 ['Hosea', '10', '14']
arbite                ['2 Samuel', '23', '35']
arbiter               ['Luke', '12', '14']
arbitrate             ['Job', '9', '33']
archelaus             ['Matthew', '2', '22']
architect             ['Hebrews', '11', '10']
ardent                ['2 Corinthians', '7', '7']
ardite                ['Numbers', '26', '40']
ardon                 ['1 Chronicles', '2', '18']
are-lazy              ['Exodus', '5', '17']
arelite               ['Numbers', '26', '17']
arena                 ['1 Corinthians', '4', '9']
aretas                ['2 Corinthians', '11', '32']
aridai                ['Esther', '9', '9']
aridatha              ['Esther', '9', '8']
arieh                 ['2 Kings', '15', '25']
aright                ['Psalms', '90', '12']
arisai                ['Esther', '9', '9']
arisen                ['Deuteronomy', '13', '13']
arises                ['Ecclesiastes', '10', '5']
aristobulus           ['Romans', '16', '10']
ark-you               ['Genesis', '6', '18']
arm-                  ['Isaiah', '17', '5']
armageddon            ['Revelation', '16', '16']
armoni                ['2 Samuel', '21', '8']
arms.no               ['2 Kings', '4', '16']
army-those            ['1 Samuel', '14', '15']
army-until            ['Joshua', '10', '33']
army-were             ['1 Kings', '2', '32']
army-will             ['Ezekiel', '32', '31']
army-your             ['Ezekiel', '38', '4']
arnan                 ['1 Chronicles', '3', '21']
arodite               ['Numbers', '26', '17']
aroerite              ['1 Chronicles', '11', '44']
aroma-and             ['Leviticus', '23', '13']
aromatic              ['Genesis', '2', '12']
arouses               ['Proverbs', '6', '34']
arrangements          ['2 Corinthians', '9', '5']
array                 ['Genesis', '2', '1']
array-do              ['Deuteronomy', '4', '19']
arsenal               ['Jeremiah', '50', '25']
art                   ['2 Chronicles', '2', '7']
artemas               ['Titus', '3', '12']
artificial            ['Nehemiah', '3', '16']
artisans-a            ['2 Kings', '24', '14']
arubboth              ['1 Kings', '4', '10']
arumah                ['Judges', '9', '41']
arza                  ['1 Kings', '16', '9']
asarel                ['1 Chronicles', '4', '16']
asarelah              ['1 Chronicles', '25', '2']
ashan-five            ['1 Chronicles', '4', '32']
ashan-four            ['Joshua', '19', '7']
ashbea                ['1 Chronicles', '4', '21']
ashbelite             ['Numbers', '26', '38']
asher-heads           ['1 Chronicles', '7', '40']
asherahs              ['Judges', '3', '7']
ashima                ['2 Kings', '17', '30']
ashpenaz              ['Daniel', '1', '3']
ashterathite          ['1 Chronicles', '11', '44']
ashteroth             ['Genesis', '14', '5']
ashurbanipal          ['Ezra', '4', '10']
ashuri                ['2 Samuel', '2', '9']
ashvath               ['1 Chronicles', '7', '33']
asiel                 ['1 Chronicles', '4', '35']
asnah                 ['Ezra', '2', '50']
aspatha               ['Esther', '9', '7']
asrielite             ['Numbers', '26', '31']
assailant             ['Deuteronomy', '25', '11']
assails               ['Job', '16', '9']
assassination         ['Jeremiah', '41', '4']
assassins             ['2 Kings', '14', '6']
assaults-take         ['Deuteronomy', '17', '8']
assembling            ['1 Samuel', '13', '11']
assembly-and          ['Jeremiah', '44', '15']
asserted              ['Luke', '22', '59']
asserting             ['Acts', '24', '9']
assessments           ['2 Kings', '23', '35']
asshurites            ['Genesis', '25', '3']
assignment            ['1 Chronicles', '23', '11']
assignments           ['2 Chronicles', '23', '18']
assigns               ['Micah', '2', '4']
assistance            ['Ezra', '8', '36']
assistants            ['Nehemiah', '5', '15']
associates-shemaiah   ['Nehemiah', '12', '36']
associates-the        ['Ezra', '4', '9']
assurance-            ['Esther', '9', '30']
assuredly             ['Jeremiah', '32', '41']
assures               ['Jeremiah', '5', '24']
assyria-to            ['Isaiah', '7', '20']
assyrians-governors   ['Ezekiel', '23', '12']
assyrians-warriors    ['Ezekiel', '23', '5']
astonishing           ['Daniel', '12', '6']
astound               ['Isaiah', '29', '14']
astounded             ['Psalms', '48', '5']
astrologer            ['Daniel', '2', '10']
aswan.                ['Isaiah', '49', '12']
asyncritus            ['Romans', '16', '14']
atarah                ['1 Chronicles', '2', '26']
athach                ['1 Samuel', '30', '30']
athaiah               ['Nehemiah', '11', '4']
atharim               ['Numbers', '21', '1']
athenians             ['Acts', '17', '21']
athlai                ['Ezra', '10', '28']
athlete               ['2 Timothy', '2', '5']
attacker              ['Nahum', '2', '1']
attackers             ['Psalms', '35', '15']
attains               ['Proverbs', '11', '19']
attempt               ['Acts', '27', '30']
attendance            ['Song of Solomon', '8', '13']
attends               ['John', '3', '29']
attested              ['1 Samuel', '3', '20']
attitudes             ['Hebrews', '4', '12']
attract               ['Isaiah', '53', '2']
augustus              ['Luke', '2', '1']
authorization         ['Acts', '15', '24']
available             ['1 Kings', '7', '36']
