------------------  --------------------
springing           Deuteronomy 33:22
cower               Deuteronomy 33:29
forded              Joshua 2:23
downstream          Joshua 3:13
upstream            Joshua 3:16
gibeath             Joshua 5:3
haaraloth           Joshua 5:3
circling            Joshua 6:11
circled             Joshua 6:15
undertakes          Joshua 6:26
resorted            Joshua 9:4
ruse                Joshua 9:4
mended              Joshua 9:4
patched             Joshua 9:5
sampled             Joshua 9:14
ratified            Joshua 9:15
hoham               Joshua 10:3
piram               Joshua 10:3
horam               Joshua 10:33
hamstring           Joshua 11:6
exterminating       Joshua 11:20
geder               Joshua 12:13
lasharon            Joshua 12:18
meron               Joshua 12:20
goyim               Joshua 12:23
gebalites           Joshua 13:5
allocate            Joshua 13:6
shahar              Joshua 13:19
betonim             Joshua 13:26
haram               Joshua 13:27
convictions         Joshua 14:7
karka               Joshua 15:3
kesalon             Joshua 15:10
shikkeron           Joshua 15:11
southernmost        Joshua 15:21
jagur               Joshua 15:21
kinah               Joshua 15:22
dimonah             Joshua 15:22
adadah              Joshua 15:22
ithnan              Joshua 15:23
bealoth             Joshua 15:24
hadattah            Joshua 15:25
amam                Joshua 15:26
gaddah              Joshua 15:27
heshmon             Joshua 15:27
biziothiah          Joshua 15:28
iim                 Joshua 15:29
kesil               Joshua 15:30
sansannah           Joshua 15:31
shilhim             Joshua 15:32
enam                Joshua 15:34
adithaim            Joshua 15:36
gederothaim         Joshua 15:36
zenan               Joshua 15:37
hadashah            Joshua 15:37
dilean              Joshua 15:38
cabbon              Joshua 15:40
lahmas              Joshua 15:40
kitlish             Joshua 15:40
nezib               Joshua 15:43
dannah              Joshua 15:49
sannah              Joshua 15:49
eshtemoh            Joshua 15:50
anim                Joshua 15:50
eshan               Joshua 15:52
janim               Joshua 15:53
aphekah             Joshua 15:53
humtah              Joshua 15:54
zior                Joshua 15:54
jokdeam             Joshua 15:56
kain                Joshua 15:57
halhul              Joshua 15:58
maarath             Joshua 15:59
anoth               Joshua 15:59
eltekon             Joshua 15:59
middin              Joshua 15:61
secacah             Joshua 15:61
nibshan             Joshua 15:62
japhletites         Joshua 16:3
taanath             Joshua 16:6
tracts              Joshua 17:5
bordered            Joshua 17:10
forested            Joshua 17:18
descriptions        Joshua 18:6
map                 Joshua 18:8
keziz               Joshua 18:21
avvim               Joshua 18:23
parah               Joshua 18:23
kephar              Joshua 18:24
ammoni              Joshua 18:24
ophni               Joshua 18:24
mozah               Joshua 18:26
irpeel              Joshua 18:27
taralah             Joshua 18:27
zelah               Joshua 18:28
haeleph             Joshua 18:28
balah               Joshua 19:3
bethul              Joshua 19:4
susah               Joshua 19:5
sharuhen            Joshua 19:6
maralah             Joshua 19:11
dabbesheth          Joshua 19:11
kisloth             Joshua 19:12
eth                 Joshua 19:13
kazin               Joshua 19:13
neah                Joshua 19:13
hannathon           Joshua 19:14
kattath             Joshua 19:15
idalah              Joshua 19:15
kesulloth           Joshua 19:18
hapharaim           Joshua 19:19
shion               Joshua 19:19
anaharath           Joshua 19:19
rabbith             Joshua 19:20
ebez                Joshua 19:20
remeth              Joshua 19:21
haddah              Joshua 19:21
pazzez              Joshua 19:21
shahazumah          Joshua 19:22
hali                Joshua 19:25
beten               Joshua 19:25
allammelech         Joshua 19:26
amad                Joshua 19:26
libnath             Joshua 19:26
neiel               Joshua 19:27
ummah               Joshua 19:30
heleph              Joshua 19:33
adami               Joshua 19:33
nekeb               Joshua 19:33
lakkum              Joshua 19:33
aznoth              Joshua 19:34
hukkok              Joshua 19:34
ziddim              Joshua 19:35
zer                 Joshua 19:35
rakkath             Joshua 19:35
adamah              Joshua 19:36
horem               Joshua 19:38
shaalabbin          Joshua 19:42
ithlah              Joshua 19:42
jehud               Joshua 19:45
berak               Joshua 19:45
jarkon              Joshua 19:46
rakkon              Joshua 19:46
prior               Joshua 20:9
kibzaim             Joshua 21:22
eshtarah            Joshua 21:27
hammoth             Joshua 21:32
kartan              Joshua 21:32
dimnah              Joshua 21:35
withstood           Joshua 21:44
replica             Joshua 22:28
routs               Joshua 23:10
undesirable         Joshua 24:15
untrue              Joshua 24:27
tract               Joshua 24:32
zephath             Judges 1:17
kitron              Judges 1:30
nahalol             Judges 1:30
acco                Judges 1:31
